combination_signature,encounter_count,proportion_of_failed,criteria_name,site_name,total_failed_encounters,patel_map_flag,patel_sbp_flag,patel_pulse_flag,patel_resp_rate_flag,patel_spo2_flag,patel_resp_flag,patel_cardio_flag,hourly_trach,paralytics_flag
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,15,0.015657620041753653,Patel,mimic,958,False,False,True,True,False,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,14,0.014613778705636743,Patel,mimic,958,False,False,True,True,True,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,12,0.012526096033402923,Patel,mimic,958,False,False,False,False,True,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,10,0.010438413361169102,Patel,mimic,958,False,False,True,False,False,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,8,0.008350730688935281,Patel,mimic,958,False,False,True,False,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,7,0.007306889352818371,Patel,mimic,958,True,True,True,True,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,6,0.006263048016701462,Patel,mimic,958,True,True,True,False,False,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,5,0.005219206680584551,Patel,mimic,958,False,False,False,True,True,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,5,0.005219206680584551,Patel,mimic,958,False,False,False,True,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,5,0.005219206680584551,Patel,mimic,958,True,True,True,False,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,4,0.0041753653444676405,Patel,mimic,958,True,True,False,True,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,4,0.0041753653444676405,Patel,mimic,958,True,True,False,False,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,3,0.003131524008350731,Patel,mimic,958,True,True,False,False,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,1,0.0010438413361169101,Patel,mimic,958,True,True,False,True,False,True,True,True,True
