combination_signature,encounter_count,proportion_of_failed,criteria_name,site_name,total_failed_encounters
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,11,0.006221719457013574,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:1|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,11,0.006221719457013574,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:1|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,9,0.005090497737556561,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:1|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,8,0.004524886877828055,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:1|team_ne_flag:0|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,6,0.003393665158371041,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,6,0.003393665158371041,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:1|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,5,0.002828054298642534,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,5,0.002828054298642534,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,5,0.002828054298642534,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,5,0.002828054298642534,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,4,0.0022624434389140274,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,4,0.0022624434389140274,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,3,0.0016968325791855204,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:1|team_ne_flag:1|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,3,0.0016968325791855204,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,2,0.0011312217194570137,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,2,0.0011312217194570137,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:1|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,2,0.0011312217194570137,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,2,0.0011312217194570137,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,2,0.0011312217194570137,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:0|team_fio2_flag:0|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,1,0.0005656108597285068,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:0|team_ne_flag:1|team_fio2_flag:0|team_peep_flag:1|team_resp_rate_flag:0|hourly_trach:1|paralytics_flag:1,1,0.0005656108597285068,TEAM,mimic,1768
team_pulse_flag:0|team_lactate_flag:1|team_ne_flag:0|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,1,0.0005656108597285068,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:1|team_ne_flag:1|team_fio2_flag:0|team_peep_flag:0|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,1,0.0005656108597285068,TEAM,mimic,1768
team_pulse_flag:1|team_lactate_flag:1|team_ne_flag:1|team_fio2_flag:1|team_peep_flag:1|team_resp_rate_flag:1|hourly_trach:1|paralytics_flag:1,1,0.0005656108597285068,TEAM,mimic,1768
